id,juris,city,name,min_far,max_far,max_height,min_front_setback,max_front_setback,side_setback,rear_setback,min_dua,max_dua,coverage,max_du_per_parcel,min_lot_size,HS,HT,HM,OF_,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME
99001,71,Vacaville,Residential Manufactured Home Park,,,,,,,,,5,,,,x,,,,,,,,,,,,,
99002,59,Fairfax,RESIDENTIAL - RD-5.5-7,,,28,6,19,5,6,1,6,,,5500,x,x,,,,x,,,,,,,,
99003,71,Vacaville,Downtown Commercial,,3,,,,,,,,,,,,,,x,x,,,,,x,x,x,x,x
99004,71,Vacaville,Professional Office Restriction Commercial,,0.3,,,,,,,,,,,,,,x,,,,,,,,,,
99005,96,Pleasanton,BART-EXISTING,,,,,,,,,,,,,,,,,,,,,,,,,,
99006,71,Vacaville,Agricultural Buffer,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
99007,75,Alameda,222 - Commercial Recreation,,,,,,,,,,,,,,,,x,,,,,,,,,,
99008,2,Berkeley,C-2,,3,50,0,,0,0,,26.4,,,,x,x,x,x,x,x,,,,x,x,x,,
99009,9,Dixon,802 - High Density Residential,,,,,,,,14.5,27,,,,x,x,x,,,,,,,,,,,
99010,21,Menlo Park,RE,,,28,,,,,,2.9,,,,x,,,,,,,,,,,,,
99011,24,Mountain View,Industrial Park,,10,45,15,,0,0,,,,,10000,,,,,,,x,,,,,,,x
99012,37,Redwood City,IR-Y,,0.7,75,0,,0,0,,,70,,10000,,,,,,,x,x,,,x,,,
99013,38,San Bruno,Mulit-Use Residential Focus,,3,50,0,,5,10,,40,1,,,,x,x,x,x,,x,,,x,,,x,x
99014,38,San Bruno,Neighborhood Commercial,,1.2,30,0,,0,0,,,0.8,,,,,,x,x,,,,,x,x,,,
99015,38,San Bruno,Very Low Density Residential,,,30,15,,5,10,,6,0.6,,,x,x,x,,,,,,,,,,,
99016,40,Cupertino,A,,0.45,28,,,,,,0.202604651,,,215000,x,,,,,,,,,,,,,
99017,40,Cupertino,A1-40,,0.45,28,,,,,,0.202604651,,,215000,x,,,,,,,,,,,,,
99018,40,Cupertino,A1-40,,0.45,28,,,,,,0.202604651,,,215000,x,,,,,,,,,,,,,
99019,40,Cupertino,Pre R1-10,,0.45,28,,,,,,5.808,,,,x,,,,,,,,,,,,,
99020,40,Cupertino,Pre RHS-21,,,30,,,,,,2.074285714,,,,x,,,,,,,,,,,,,
99021,40,Cupertino,Pre RHS-40,,,30,,,,,,1.089,,,,x,,,,,,,,,,,,,
99022,55,Napa,RT-4,,0.3,30,20,,15,20,,26.13,45,3,5000,x,x,,,,x,,,,,,,,
